State,FIPS,Value (Dollars),Rank within US (of 52 states)
Mississippi,28000,54915,51
West Virginia,54000,57917,50
Arkansas,5000,58773,49
Louisiana,22000,60023,48
Alabama,1000,62027,47
New Mexico,35000,62125,46
Kentucky,21000,62417,45
Oklahoma,40000,63603,44
South Carolina,45000,66818,43
Tennessee,47000,67097,42
Missouri,29000,68920,41
Ohio,39000,69680,40
North Carolina,37000,69904,39
Montana,30000,69922,38
Indiana,18000,70051,37
Michigan,26000,71149,36
Florida,12000,71711,35
Maine,23000,71773,34
South Dakota,46000,72421,33
Kansas,20000,72639,32
Iowa,19000,73147,31
Idaho,16000,74636,30
Georgia,13000,74664,29
Wyoming,56000,74815,28
Nebraska,31000,74985,27
Nevada,32000,75561,26
Wisconsin,55000,75670,25
North Dakota,38000,75949,24
Pennsylvania,42000,76081,23
Texas,48000,76292,22
Arizona,4000,76872,21
Vermont,50000,78024,20
Oregon,41000,80426,19
Illinois,17000,81702,18
Delaware,10000,82855,17
New York,36000,84578,16
Rhode Island,44000,86372,15
Minnesota,27000,87556,14
Alaska,2900,89336,13
Virginia,51000,90974,12
Utah,49000,91750,11
Colorado,8000,92470,10
Connecticut,9000,93760,9
Washington,53000,94952,8
New Hampshire,33000,95628,7
California,6000,96334,6
Hawaii,15000,98317,5
New Jersey,34000,101050,4
Massachusetts,25000,101341,3
Maryland,24000,101652,2
